Blaenau Gwent
Abertillery, Blaenau Gwent

Ebbw Vale, Blaenau Gwent

Tredegar, Blaenau Gwent


Bridgend
Brackla, Bridgend

Maesteg, Bridgend

North Cornelly, Bridgend

Pencoed, Bridgend

Porthcawl, Bridgend


Caerphilly
Bargoed, Caerphilly

Bedwas, Caerphilly

Blackwood, Caerphilly

Hengoed, Caerphilly

Machen, Caerphilly

New Tredegar, Caerphilly



Cardiff
Adamsdown, Cardiff

Albany Road, Cardiff

Atlantic Wharf, Cardiff

Birchgrove, Cardiff

Butetown, Cardiff

Caerau, Cardiff

Canton, Cardiff

Cardiff Bay, Cardiff

Cardiff City Centre, Cardiff

Cathays, Cardiff

Culverhouse Cross, Cardiff

Cyncoed, Cardiff

Danescourt, Cardiff

Ely, Cardiff

Fairwater, Cardiff

Gabalfa, Cardiff

Grangetown, Cardiff

Heath, Cardiff

Lakeside, Cardiff

Leckwith, Cardiff

Lisvane, Cardiff

Llandaff North, Cardiff

Llandaff, Cardiff

Llandough, Cardiff

Llanedeyrn, Cardiff

Llanishen, Cardiff

Llanrumney, Cardiff

Maindy, Cardiff

Marshfield, Cardiff

Mynachdy, Cardiff

Newport Road, Cardiff

Old St Mellons, Cardiff

Pengam Green, Cardiff

Pentwyn, Cardiff

Penylan, Cardiff

Pontcanna, Cardiff

Pontprennau, Cardiff

Radyr, Cardiff

Rhiwbina, Cardiff

Riverside, Cardiff

Roath Park, Cardiff

Roath, Cardiff

Rumney, Cardiff

Splott, Cardiff

St Fagans, Cardiff

St Mellons, Cardiff

Thornhill, Cardiff

Tremorfa, Cardiff

Victoria Park, Cardiff

Whitchurch, Cardiff

Whitchurch, Cardiff



Carmarthenshire
Ammanford, Carmarthenshire

Burry Port, Carmarthenshire

Carmarthen, Carmarthenshire

Ferryside, Carmarthenshire

Kidwelly, Carmarthenshire

Llandeilo, Carmarthenshire

Llandovery, Carmarthenshire

Llanelli, Carmarthenshire

Llangadog, Carmarthenshire

Llanwrda, Carmarthenshire

Llanybydder, Carmarthenshire

Newcastle Emlyn, Carmarthenshire

Pencader, Carmarthenshire

Whitland, Carmarthenshire



Ceredigion
Aberaeron, Ceredigion

Aberystwyth, Ceredigion

Borth, Ceredigion

Bow Street, Ceredigion

Cardigan, Ceredigion

Lampeter, Ceredigion

Llanarth, Ceredigion

Llandysul, Ceredigion

Llanon, Ceredigion

Llanrhystud, Ceredigion

New Quay, Ceredigion

Talybont, Ceredigion

Tregaron, Ceredigion

Ystrad Meurig, Ceredigion



Conwy
Abergele, Conwy

Betws-y-Coed, Conwy

Colwyn Bay, Conwy

Deganwy, Conwy

Dolwyddelan, Conwy

Llandudno Junction, Conwy

Llandudno, Conwy

Llanfairfechan, Conwy

Llanrwst, Conwy

Penmaenmawr, Conwy

Trefriw, Conwy



Denbighshire
Corwen, Denbighshire

Denbigh, Denbighshire

Llangollen, Denbighshire

Prestatyn, Denbighshire

Rhyl, Denbighshire

Ruthin, Denbighshire

St Asaph, Denbighshire



Flintshire
Bagillt, Flintshire

Buckley, Flintshire

Deeside, Flintshire

Flint, Flintshire

Holywell, Flintshire

Mold, Flintshire



Gwynedd
Aberdovey, Gwynedd

Arthog, Gwynedd

Bala, Gwynedd

Bangor, Gwynedd

Barmouth, Gwynedd

Blaenau Ffestiniog, Gwynedd

Caernarfon, Gwynedd

Criccieth, Gwynedd

Dolgellau, Gwynedd

Dyffryn Ardudwy, Gwynedd

Fairbourne, Gwynedd

Garndolbenmaen, Gwynedd

Harlech, Gwynedd

Llanbedr, Gwynedd

Llwyngwril, Gwynedd

